"sessionId (text)","page (text)","latency (number)","timeOnPage (number)"
39373acc,explore,274,88.125
b8327b45,explore,38,155.011
379e4902,welcome,19,28.819
b8eb5b30,explore,338,101.692
b79fe3f1,welcome,16,25.548
36ed5060,explore,22,164.406
38ec71c2,explore,124,99.703
b8eda722,welcome,7,22.548
b7f82911,explore,149,74.256
35dca24f,query,143,301.229
b911f253,,10,
38d3e59b,,17,
37d9eb2e,explore,451,104.867
b7f0033b,welcome,32,34.295
b791d445,welcome,17,27.887
b8db6ad4,welcome,7,38.663
b88599a2,query,176,377.683
38948dcb,query,93,301.638
37f758c1,explore,132,182.919
3891d7c5,welcome,30,21.290
39052260,query,63,300.374
3851d3ae,explore,30,147.108
37ab0dc5,index,50,21.527
388449c1,query,181,362.215
3848ed02,explore,87,84.557
3891891e,query,17,377.406
b8b82e96,welcome,52,38.596
38b456cc,query,89,432.309
39892f9d,index,32,58.035
b8ea553c,index,24,47.554
b7f89c1f,explore,186,42.480
38441e03,explore,215,120.743
38745e14,explore,223,130.813
3952231e,query,17,433.100
38329c91,explore,151,139.579
38948dcb,welcome,47,25.801
b69e825b,welcome,84,15.897
39228db2,explore,22,93.257
38ad00b8,explore,177,144.759
b8440fb8,,10,
b969c7f7,welcome,29,47.838
b7d8f58c,query,17,298.017
385fdcf4,welcome,35,28.216
39892f9d,query,105,434.645
b95aeca3,explore,147,116.419
386bd3e9,explore,22,31.647
b9441ecc,explore,346,136.401
b79aeb70,query,257,378.583
38ba1d6e,query,45,357.590
397342ca,welcome,51,40.566
b95aeca3,welcome,9,31.240
b8f0341a,welcome,36,35.816
38a5444d,explore,40,89.603
b6a11108,welcome,8,30.196
b8ce3ab7,explore,26,112.400
b86d6380,query,59,316.793
b848aebf,index,4,42.893
b9471910,welcome,7,40.288
375c4034,query,141,347.313
3952231e,query,96,450.347
b8000ee8,welcome,23,29.279
b7be715e,,97,
3903fcc4,,31,
353aeda8,query,46,310.929
b89c719c,explore,32,64.211
b9271e47,query,17,411.394
38a06817,query,20,506.268
3955382a,query,101,404.634
b82e6442,explore,188,78.073
b8d52566,index,4,64.084
b939f9a7,explore,22,63.214
389e4217,query,17,411.553
3810bf43,welcome,53,30.415
b9648119,query,69,350.601
38cd2874,welcome,124,20.945
b8958686,explore,22,142.456
378cee80,welcome,95,23.512
386dcb33,explore,155,47.107
b9271e47,query,24,333.149
38458817,welcome,7,23.639
380b42ff,explore,22,142.289
37a779d8,query,17,410.203
b9328395,query,47,333.920
b886e855,,32,
389ad92c,query,17,290.514
b92f93fa,explore,133,85.497
b8f7d9c4,explore,156,125.268
36f1b74f,query,18,306.203
39358887,query,48,274.399
39758bae,query,17,368.666
b8dd4a49,query,24,400.578
373186de,query,37,370.614
b71455f0,welcome,7,23.604
b791d445,explore,43,80.654
b8926399,query,239,344.442
b90e5b4d,,48,
38f3ac65,index,4,42.725
b909de80,query,33,416.303
38f3ac65,welcome,26,46.255
b8b48b40,explore,432,90.168
385430ef,welcome,25,21.938
3812a7c4,explore,22,70.093
b78addcd,welcome,133,34.922
38e7061b,query,17,431.786
370371dd,explore,25,94.682
b8912956,explore,51,76.558
b8be7350,explore,66,86.740
38cb1400,explore,22,78.996
37ee8546,welcome,93,40.195
b68470fd,query,72,382.675
b8f0b6a6,welcome,12,26.675
b8bba9ba,query,141,400.880
b8b82e96,query,142,386.086
3876a942,,10,
3900e81c,welcome,19,32.261
b8381d45,explore,52,104.994
b8f7d9c4,query,83,335.141
b8b7c738,query,79,381.264
37b54085,query,141,417.600
38e9d8b4,welcome,7,16.434
37c39225,query,61,404.415
b93c6e64,explore,138,178.425
3837bc74,index,45,55.510
3834006a,query,17,336.246
38ad00b8,explore,194,66.256
b7be715e,welcome,30,22.272
b8ba01c1,explore,249,23.262
380df54a,explore,194,153.634
3878fd44,welcome,18,29.362
b7d755ca,query,28,382.981
3815e560,welcome,61,32.342
35a36330,query,133,390.572
38d33e5c,query,134,361.985
b791d445,query,66,322.788
b8ed44cb,query,139,412.481
b9328395,query,29,428.565
b9012c3a,,18,
389ad92c,,68,
3903fcc4,welcome,38,42.513
37b54085,welcome,42,36.011
38afbd2d,explore,22,137.279
b8ebaf19,explore,33,149.052
b914b06b,index,8,39.063
b8bba9ba,query,17,321.622
38af566d,query,17,374.082
b881b07e,explore,42,82.557
38e7061b,explore,103,133.365
3815e560,explore,22,41.210
386bd3e9,query,31,344.134
b8471dcd,explore,167,138.323
b9041305,index,8,62.172
b82e6442,index,6,27.411
b79aeb70,query,144,385.034
38afbd2d,explore,22,111.276
38d3e59b,welcome,11,27.874
37a98123,explore,165,42.124
358265cf,query,116,327.006
b9012c3a,explore,221,88.595
b7a05342,index,19,50.221
387d96ac,query,17,465.737
37a67338,,23,
388e7d76,query,17,366.006
b8cbb004,query,17,331.197
b87b7619,query,17,331.508
389d2e50,query,46,475.936
375c4034,query,224,398.634
390eb20a,query,57,391.702
b946cbe5,welcome,30,21.784
37ee8546,index,34,39.386
397342ca,query,17,421.674
38f3ac65,explore,376,81.012
39373acc,welcome,16,19.267
38ed7c5a,query,297,414.670
b8b82e96,explore,74,137.341
37640a19,welcome,43,27.799
3891339d,explore,22,54.497
b7fe9ea9,query,31,390.401
b6ce6d39,explore,22,162.254
37a779d8,query,181,344.209
383c9a8d,welcome,7,32.516
388c7412,index,4,26.826
b8b87e79,query,151,455.921
38d93a84,query,124,314.122
b909de80,welcome,41,30.617
b8b769cc,query,34,384.715
3891339d,welcome,7,28.730
b87ce722,index,30,67.134
38d6c939,query,25,410.220
b90e5b4d,query,99,467.131
b8f929a3,explore,62,134.465
b9012c3a,explore,123,69.169
b87286ca,query,240,361.771
38458817,query,68,373.866
b82e6442,explore,22,115.416
b8ad4598,welcome,30,18.821
b90ff30a,query,48,466.865
37ab0dc5,query,221,508.380
b8db6ad4,query,17,315.827
b887de25,query,245,430.235
b8fdb4dd,query,101,412.191
b893c21d,query,81,370.236
b8ed44cb,explore,95,117.775
b78addcd,,21,
36a064d0,index,9,60.461
38afb6b5,explore,81,143.351
b583ab9d,query,21,195.429
b7c6b3a0,query,22,279.052
b8381d45,index,9,43.608
b7d755ca,query,17,425.497
b91010b2,query,50,400.753
39670a85,explore,306,104.743
b9471910,index,4,44.534
38d6c939,welcome,9,37.697
b75842ba,explore,126,73.467
39892f9d,welcome,7,22.977
b949e2f1,explore,137,154.257
385a9e7b,query,137,323.006
b9154411,,33,
b8ed44cb,welcome,36,19.341
38745e14,,17,
390bcd76,explore,107,93.593
385fdcf4,index,20,31.390
b8958686,query,30,346.481
b887de25,query,136,323.966
b71455f0,query,88,487.150
37a779d8,welcome,21,34.033
390eb20a,query,47,430.208
38d81da8,query,56,218.754
3798f2b9,query,89,354.268
b8f929a3,,45,
38f3ac65,welcome,22,32.125
37c39225,query,63,357.965
b9585f6b,query,17,420.279
390eb20a,query,125,324.309
37003e98,welcome,18,26.823
37ab0dc5,explore,98,115.150
3922b349,explore,238,94.184
39892f9d,query,77,478.822
3837bc74,index,10,60.211
36e4410c,query,17,418.209
b8edd98e,welcome,21,37.461
3848ed02,welcome,10,44.566
38329c91,query,236,343.065
37bafb90,query,25,274.436
382e53fc,explore,22,184.030
b88599a2,explore,27,76.631
b85e8e45,,238,
38e9d8b4,explore,191,61.501
38ba1d6e,explore,61,93.940
38bc4324,welcome,31,27.732
b7f89c1f,query,17,238.627
b8bc7fa7,explore,22,72.529
b6e48e00,explore,88,147.235
3900861a,explore,305,106.533
b8000ee8,explore,83,148.543
b6c2d57d,query,139,370.811
b7834a5d,explore,130,139.710
3681af35,query,160,385.217
b8ed44cb,explore,294,77.025
b86509eb,query,87,426.699
39318dff,query,213,283.840
38dced53,welcome,7,36.018
b914b06b,explore,79,76.741
37b54085,query,71,432.501
38b7f354,query,106,394.232
b7be715e,explore,111,99.182
b5824c0d,explore,22,112.402
b8471dcd,index,4,68.728
b9154411,explore,88,121.074
38948dcb,index,32,65.997
37f30352,index,4,38.526
38af566d,welcome,64,43.952
38fc9151,query,103,292.694
b89c719c,index,11,35.773
39318dff,,129,
b86509eb,welcome,7,34.682
b8f0b6a6,welcome,7,24.870
b941318b,query,17,235.025
353aeda8,query,120,406.528
3812a7c4,welcome,33,26.052
385f78ea,index,40,39.408
3848ed02,query,80,352.434
392ec35a,explore,178,94.089
390bd0eb,welcome,10,44.606
38a1b139,explore,89,42.564
37ab0dc5,index,11,35.360
38c57fb4,,26,
389c1dca,welcome,8,41.383
397342ca,query,17,376.676
b88014ad,,10,
353aeda8,explore,87,94.270
b583ab9d,query,140,393.776
38fc9151,query,69,388.932
3922b349,query,17,478.619
b88ea5a2,explore,210,87.942
b89ffd94,,37,
b8000ee8,query,59,447.571
b88599a2,welcome,64,27.760
b921f986,query,42,358.516
38948dcb,query,99,431.448
38aa310d,query,124,447.554
b95aeca3,index,32,44.107
38fb0691,index,4,31.926
382e53fc,,10,
38ff1e6e,welcome,58,37.577
382e53fc,explore,22,142.819
b85b4afd,welcome,10,30.878
391aecc4,explore,179,99.419
38fc6708,query,79,399.573
38795e28,explore,22,59.263
b89fd680,,10,
b8a167a7,,55,
b65e3350,query,36,301.347
b90ff30a,query,46,408.843
b8901986,explore,91,94.111
382e53fc,query,47,383.739
394a07e6,query,25,270.727
b69e825b,explore,22,101.371
b9041305,explore,22,95.344
b796189b,query,17,314.215
381d9f04,explore,22,142.846
388c7e66,query,26,243.416
b89c719c,query,97,439.653
381d9f04,query,17,392.965
b8ebaf19,query,17,414.553
384a7e56,query,203,478.603
3848ed02,explore,22,92.374
b8bba9ba,query,17,424.092
39318dff,query,55,473.637
3713eb3c,welcome,9,28.156
38458817,index,82,4.321
3891339d,welcome,19,31.856
b914002e,query,63,361.517
39365ef3,welcome,24,18.250
b80afde3,,124,
389e4217,welcome,65,17.433
385a9e7b,welcome,33,28.627
b8b638b3,explore,43,92.716
395f70ec,explore,236,80.470
3878fd44,welcome,7,52.460
375c4034,query,30,279.213
380df54a,query,95,369.310
3922b349,welcome,45,23.102
b949e2f1,query,128,512.121
b8c70841,query,49,481.275
39212245,query,17,487.167
b89fd680,explore,25,206.080
399cc17a,explore,22,99.498
38a06817,query,66,366.499
b71aa54e,,10,
b75ec1ca,,10,
b8b769cc,,10,
b9358f4e,explore,80,154.062
38c86153,query,17,365.042
b8c0eb07,query,282,468.071
379e4902,query,30,317.370
382e53fc,,77,
37b54085,explore,82,0.563
b90e5b4d,welcome,9,35.343
3903fcc4,explore,147,21.377
b87286ca,query,93,338.589
39478a8a,explore,33,121.790
378bb159,explore,22,148.427
b5824c0d,explore,39,186.969
3661582f,query,109,375.521
37d09aeb,explore,302,171.777
b75ec1ca,explore,69,106.724
38e14edf,explore,176,79.967
38ed7c5a,welcome,7,28.561
390eb20a,explore,70,82.093
383af3a0,welcome,46,40.959
b6c2d57d,explore,172,94.924
b89c719c,explore,37,103.541
38c86153,index,4,66.366
b7361629,,20,
b82bcb39,explore,164,105.514
b89e08e4,query,219,380.349
37f30352,explore,52,123.108
38319688,query,17,401.404
b8926399,welcome,24,37.515
3891d7c5,welcome,71,28.583
b8a3c2c9,explore,342,133.449
38e3d49a,query,213,470.987
393e838a,query,43,418.772
3922b349,query,19,256.315
39358887,explore,93,138.455
b8bba9ba,explore,85,160.657
38ed7c5a,welcome,40,40.171
b919a11c,,31,
3815e560,explore,63,37.971
38d81da8,query,245,369.182
386dcb33,explore,22,121.689
38ba1d6e,,10,
38a1b139,explore,78,71.990
b86509eb,explore,38,68.307
388c7412,welcome,39,32.225
b7d0c077,,43,
b8f4dad5,query,19,434.164
b8912956,explore,22,87.506
b914002e,query,17,481.567
3925b2bb,query,34,369.091
b7fea314,explore,22,189.220
39358887,,80,
b960d877,explore,325,110.345
383c9a8d,query,111,335.022
342fc387,query,115,333.834
b8c70841,query,17,362.582
b7fea314,welcome,25,33.441
37ee8546,,67,
b9328395,query,347,417.093
38ed7c5a,query,17,394.919
b69e825b,explore,362,112.603
38e9d8b4,index,4,41.298
b902c6e5,query,59,333.880
395f70ec,welcome,7,20.633
b83af9dd,query,236,359.502
353aeda8,query,39,353.275
3900e81c,query,38,383.140
37d09aeb,query,52,377.748
394a07e6,welcome,20,32.867
3810bf43,query,83,418.439
3922b349,welcome,42,43.914
36ed5060,explore,60,124.919
b91efdd3,query,29,306.925
388e7d76,query,23,415.144
b66d0547,explore,138,168.338
b85b4afd,query,17,359.857
b8b4d295,index,14,38.601
38cd2874,explore,380,117.906
3791b663,welcome,170,25.311
3713eb3c,query,21,356.100
382553e8,query,58,444.205
b90814a9,explore,22,122.635
b79aeb70,query,17,405.600
38cd2874,query,44,307.130
b7d8f58c,explore,22,130.627
386bd3e9,query,17,324.555
b8b58a4e,,46,
38e7061b,explore,113,137.234
b92f93fa,query,117,390.864
b9046492,,47,
39095559,welcome,56,39.853
b8092503,,27,
38cb1400,query,97,382.431
3836e668,query,310,353.266
39373acc,query,17,352.942
b90814a9,query,180,385.067
b9328395,query,17,351.384
b75ec1ca,query,32,387.430
b8f7d9c4,,43,
381d9f04,query,17,418.687
3881e95c,explore,83,108.967
b8be7350,explore,149,122.824
38d93a84,query,17,380.122
37a779d8,query,121,423.413
358265cf,welcome,19,32.925
b8a3c2c9,query,125,324.788
3943525e,query,113,404.137
38b7f354,query,17,312.929
38a5444d,welcome,24,35.479
3891891e,explore,130,121.811
39758bae,index,19,48.666
b856fd59,welcome,8,11.801
b6c07f2e,explore,252,128.861
37f758c1,explore,110,145.136
b960d877,,89,
b88014ad,explore,22,56.560
b6e48e00,query,306,390.567
38dced53,explore,22,65.477
38795e28,explore,515,173.282
391aecc4,,21,
38e14edf,welcome,52,33.230
370f565d,explore,160,6.013
342fc387,query,17,332.356
393da03b,query,57,474.252
b8fdb4dd,query,309,370.463
b941318b,query,144,339.085
b70816c9,,10,
3836e668,query,27,368.526
b8b87e79,query,18,428.980
38f7f69c,query,59,235.282
b9328395,query,100,283.402
37d9eb2e,explore,440,79.936
39358887,welcome,7,33.257
b830b2b9,query,21,349.208
38cf25b8,query,105,312.111
388c7412,query,155,435.378
b902c6e5,welcome,7,35.419
b894b74d,query,116,315.406
392ec35a,query,45,414.113
b8ad4598,query,118,344.286
38cf25b8,welcome,7,22.076
3891d7c5,explore,540,66.885
b8f4dad5,query,51,454.776
b909de80,index,28,43.054
38ca2b03,welcome,53,32.259
b8697044,explore,76,78.006
b85b4afd,query,362,385.867
38a06817,explore,238,95.557
b87286ca,explore,136,72.896
b921f986,explore,22,100.576
3891339d,query,77,375.612
38b456cc,explore,74,106.137
397342ca,query,71,475.486
3810bf43,welcome,66,19.090
b6e8fe1b,welcome,64,23.933
b7444e76,welcome,7,5.047
38d33e5c,query,125,517.026
b941318b,,31,
39016ddb,query,18,370.261
3878fd44,welcome,11,27.894
b8ce3ab7,query,20,291.890
388449c1,welcome,7,30.257
b75ec1ca,query,180,502.693
388a0367,explore,52,104.948
3943525e,welcome,48,23.117
39670a85,index,10,14.580
b89c3425,explore,98,147.874
b6e8fe1b,explore,143,88.438
385a9e7b,explore,22,141.008
b9012c3a,,37,
342fc387,query,70,249.415
b83af9dd,query,116,319.099
3834006a,query,80,283.012
b90814a9,explore,32,143.357
3791b663,welcome,35,23.713
388e7d76,query,204,417.398
b8730068,,20,
36775eec,explore,32,113.678
b8be7350,query,17,507.887
38f7f69c,query,17,369.804
381d9f04,query,144,315.858
b7a05342,explore,22,57.019
b88c8d34,query,160,394.404
38e9d8b4,query,27,339.130
391aecc4,index,29,28.195
39373acc,explore,22,112.238
b85b4afd,explore,22,147.726
394f292b,explore,429,137.077
3799ec7b,query,434,392.338
3941f9d6,query,349,353.454
b7d8f58c,query,80,379.204
38c05df1,explore,66,107.080
b8092503,welcome,19,17.354
b89ffd94,,23,
b90aa3ca,welcome,40,24.279
b70816c9,welcome,16,47.322
b8381d45,index,12,49.109
b8eda722,index,4,67.926
b8327b45,index,74,73.352
b89bcdbd,query,25,315.015
b85cc5e8,welcome,10,23.714
b9358f4e,welcome,9,24.089
39212245,,24,
b8eb5b30,query,24,360.285
38a5e45f,index,4,43.013
b8c9701d,explore,61,78.901
b6ce6d39,query,278,417.691
b8df95c1,query,115,324.556
b6f59e44,welcome,66,27.283
389ad92c,query,17,285.911
b68470fd,welcome,31,25.938
b7d8f58c,index,4,74.738
38c57fb4,query,17,396.521
b8ce3ab7,welcome,7,19.268
382553e8,,55,
39052260,welcome,7,35.040
b7361629,index,20,51.184
342fc387,index,49,54.826
b8edd98e,welcome,28,39.140
b8ebaf19,query,121,308.894
b79fe3f1,welcome,18,29.073
38ec71c2,welcome,11,29.581
b8092503,welcome,15,28.052
38cf25b8,welcome,61,13.948
b90f0126,query,398,408.259
b886e855,,62,
b8958686,welcome,21,39.470
b7d755ca,query,86,303.927
380b42ff,query,131,310.696
37ab0dc5,,61,
b88ea5a2,explore,99,57.111
b8b638b3,explore,22,104.924
3787d977,welcome,20,24.588
38a06817,welcome,44,29.781
b8a5da4d,explore,317,38.295
b87b7619,,42,
3876a942,query,122,305.614
b71455f0,index,4,53.796
388a0367,query,30,367.752
b8926399,query,117,413.169
b89fd680,explore,22,57.397
394a07e6,welcome,80,37.815
